ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw:  931  |  22.7 %  [DIM]
  ADC raw: 1037  |  25.3 %  [DIM]
  ADC raw: 1037  |  25.3 %  [DIM]
  ADC raw: 1034  |  25.3 %  [DIM]
  ADC raw: 1030  |  25.2 %  [DIM]
  ADC raw: 1022  |  25.0 %  [DIM]
  ADC raw: 1015  |  24.8 %  [DIM]
  ADC raw: 1008  |  24.6 %  [DIM]
  ADC raw: 1005  |  24.5 %  [DIM]
  ADC raw:  996  |  24.3 %  [DIM]
  ADC raw:  989  |  24.2 %  [DIM]
  ADC raw:  983  |  24.0 %  [DIM]
  ADC raw:  978  |  23.9 %  [DIM]
  ADC raw:  971  |  23.7 %  [DIM]
  ADC raw:  963  |  23.5 %  [DIM]
  ADC raw:  955  |  23.3 %  [DIM]
  ADC raw:  953  |  23.3 %  [DIM]
  ADC raw:  944  |  23.1 %  [DIM]
  ADC raw:  937  |  22.9 %  [DIM]
  ADC raw:  933  |  22.8 %  [DIM]
  ADC raw:  925  |  22.6 %  [DIM]
  ADC raw:  919  |  22.4 %  [DIM]
  ADC raw:  911  |  22.2 %  [DIM]
  ADC raw:  907  |  22.1 %  [DIM]
  ADC raw:  894  |  21.8 %  [DIM]
  ADC raw:  884  |  21.6 %  [DIM]
  ADC raw:  875  |  21.4 %  [DIM]
  ADC raw:  871  |  21.3 %  [DIM]
  ADC raw:  861  |  21.0 %  [DIM]
  ADC raw:  856  |  20.9 %  [DIM]
  ADC raw:  854  |  20.9 %  [DIM]
  ADC raw:  843  |  20.6 %  [DIM]
  ADC raw:  836  |  20.4 %  [DIM]
  ADC raw:  835  |  20.4 %  [DIM]
  ADC raw:  833  |  20.3 %  [DIM]
  ADC raw:  836  |  20.4 %  [DIM]
  ADC raw:  840  |  20.5 %  [DIM]
  ADC raw:  850  |  20.8 %  [DIM]
  ADC raw:  842  |  20.6 %  [DIM]
  ADC raw:  845  |  20.6 %  [DIM]
  ADC raw:  786  |  19.2 %  [DIM]
  ADC raw:  842  |  20.6 %  [DIM]
  ADC raw:  840  |  20.5 %  [DIM]
  ADC raw:  841  |  20.5 %  [DIM]
  ADC raw:  837  |  20.4 %  [DIM]
  ADC raw:  835  |  20.4 %  [DIM]
  ADC raw:  837  |  20.4 %  [DIM]
  ADC raw:  833  |  20.3 %  [DIM]
  ADC raw:  826  |  20.2 %  [DIM]
  ADC raw:  823  |  20.1 %  [DIM]
  ADC raw:  822  |  20.1 %  [DIM]
  ADC raw:  818  |  20.0 %  [DIM]
  ADC raw:  816  |  19.9 %  [DIM]
  ADC raw:  816  |  19.9 %  [DIM]
  ADC raw:  811  |  19.8 %  [DIM]
  ADC raw:  804  |  19.6 %  [DIM]
  ADC raw:  797  |  19.5 %  [DIM]
  ADC raw:  790  |  19.3 %  [DIM]
  ADC raw:  788  |  19.2 %  [DIM]
