ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help

Unknown command ''. Send '?' for help.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw: 1007  |  24.6 %  [DIM]
  ADC raw:  982  |  24.0 %  [DIM]
  ADC raw:  977  |  23.9 %  [DIM]
  ADC raw:  978  |  23.9 %  [DIM]
  ADC raw:  970  |  23.7 %  [DIM]
  ADC raw:  965  |  23.6 %  [DIM]
  ADC raw:  944  |  23.1 %  [DIM]
  ADC raw:  925  |  22.6 %  [DIM]
  ADC raw:  923  |  22.5 %  [DIM]
  ADC raw:  899  |  22.0 %  [DIM]
  ADC raw:  887  |  21.7 %  [DIM]
  ADC raw:  888  |  21.7 %  [DIM]
  ADC raw:  863  |  21.1 %  [DIM]
  ADC raw:  868  |  21.2 %  [DIM]
  ADC raw:  861  |  21.0 %  [DIM]
  ADC raw:  858  |  21.0 %  [DIM]
  ADC raw:  845  |  20.6 %  [DIM]
  ADC raw:  849  |  20.7 %  [DIM]
  ADC raw:  844  |  20.6 %  [DIM]
  ADC raw:  821  |  20.0 %  [DIM]
  ADC raw:  838  |  20.5 %  [DIM]
  ADC raw:  810  |  19.8 %  [DIM]
  ADC raw:  794  |  19.4 %  [DIM]
  ADC raw:  843  |  20.6 %  [DIM]
  ADC raw:  841  |  20.5 %  [DIM]
  ADC raw:  835  |  20.4 %  [DIM]
  ADC raw:  827  |  20.2 %  [DIM]
  ADC raw:  823  |  20.1 %  [DIM]
  ADC raw:  813  |  19.9 %  [DIM]
  ADC raw:  809  |  19.8 %  [DIM]
  ADC raw:  808  |  19.7 %  [DIM]
  ADC raw:  806  |  19.7 %  [DIM]
  ADC raw:  799  |  19.5 %  [DIM]
  ADC raw:  796  |  19.4 %  [DIM]
  ADC raw:  797  |  19.5 %  [DIM]
  ADC raw:  790  |  19.3 %  [DIM]
  ADC raw:  791  |  19.3 %  [DIM]
  ADC raw:  790  |  19.3 %  [DIM]
  ADC raw:  792  |  19.3 %  [DIM]
  ADC raw:  801  |  19.6 %  [DIM]
  ADC raw:  818  |  20.0 %  [DIM]
  ADC raw:  845  |  20.6 %  [DIM]
  ADC raw:  865  |  21.1 %  [DIM]
  ADC raw:  903  |  22.1 %  [DIM]
  ADC raw:  905  |  22.1 %  [DIM]
  ADC raw:  935  |  22.8 %  [DIM]
  ADC raw:  951  |  23.2 %  [DIM]
  ADC raw:  973  |  23.8 %  [DIM]
  ADC raw:  991  |  24.2 %  [DIM]
  ADC raw: 1005  |  24.5 %  [DIM]
  ADC raw: 1015  |  24.8 %  [DIM]
  ADC raw: 1031  |  25.2 %  [DIM]
  ADC raw: 1043  |  25.5 %  [DIM]
  ADC raw: 1044  |  25.5 %  [DIM]
  ADC raw: 1054  |  25.7 %  [DIM]
  ADC raw: 1062  |  25.9 %  [DIM]
  ADC raw: 1066  |  26.0 %  [DIM]
  ADC raw: 1067  |  26.1 %  [DIM]
  ADC raw: 1072  |  26.2 %  [DIM]
  ADC raw: 1082  |  26.4 %  [DIM]
  ADC raw: 1071  |  26.2 %  [DIM]
  ADC raw: 1060  |  25.9 %  [DIM]
  ADC raw: 1043  |  25.5 %  [DIM]
  ADC raw: 1036  |  25.3 %  [DIM]
  ADC raw: 1028  |  25.1 %  [DIM]
  ADC raw: 1018  |  24.9 %  [DIM]
  ADC raw: 1004  |  24.5 %  [DIM]
  ADC raw:  968  |  23.6 %  [DIM]
  ADC raw:  965  |  23.6 %  [DIM]
  ADC raw:  939  |  22.9 %  [DIM]
