ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xd (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw: 3349  |  81.8 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3357  |  82.0 %  [NORMAL]
  ADC raw: 3357  |  82.0 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3353  |  81.9 %  [NORMAL]
  ADC raw: 3358  |  82.0 %  [NORMAL]
  ADC raw: 3358  |  82.0 %  [NORMAL]
  ADC raw: 3357  |  82.0 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3362  |  82.1 %  [NORMAL]
  ADC raw: 3353  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3349  |  81.8 %  [NORMAL]
  ADC raw: 3353  |  81.9 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3353  |  81.9 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3365  |  82.2 %  [NORMAL]
  ADC raw: 3353  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
  ADC raw: 3357  |  82.0 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3358  |  82.0 %  [NORMAL]
  ADC raw: 3359  |  82.0 %  [NORMAL]
  ADC raw: 3357  |  82.0 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
  ADC raw: 3352  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
  ADC raw: 3360  |  82.1 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3357  |  82.0 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3351  |  81.8 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3350  |  81.8 %  [NORMAL]
  ADC raw: 3352  |  81.9 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3361  |  82.1 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3357  |  82.0 %  [NORMAL]
  ADC raw: 3344  |  81.7 %  [NORMAL]
  ADC raw: 3358  |  82.0 %  [NORMAL]
  ADC raw: 3357  |  82.0 %  [NORMAL]
  ADC raw: 3353  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3370  |  82.3 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3356  |  82.0 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3357  |  82.0 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
  ADC raw: 3355  |  81.9 %  [NORMAL]
  ADC raw: 3354  |  81.9 %  [NORMAL]
