ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw: 1029  |  25.1 %  [DARK]
  ADC raw: 1034  |  25.3 %  [DARK]
  ADC raw: 1027  |  25.1 %  [DARK]
  ADC raw: 1023  |  25.0 %  [DARK]
  ADC raw: 1035  |  25.3 %  [DARK]
  ADC raw: 1011  |  24.7 %  [DARK]
  ADC raw:  923  |  22.5 %  [DARK]
  ADC raw:  926  |  22.6 %  [DARK]
  ADC raw:  931  |  22.7 %  [DARK]
  ADC raw:  942  |  23.0 %  [DARK]
  ADC raw:  933  |  22.8 %  [DARK]
  ADC raw:  928  |  22.7 %  [DARK]
  ADC raw:  917  |  22.4 %  [DARK]
  ADC raw:  920  |  22.5 %  [DARK]
  ADC raw:  917  |  22.4 %  [DARK]
  ADC raw:  980  |  23.9 %  [DARK]
  ADC raw:  940  |  23.0 %  [DARK]
  ADC raw:  933  |  22.8 %  [DARK]
  ADC raw:  927  |  22.6 %  [DARK]
  ADC raw:  886  |  21.6 %  [DARK]
  ADC raw:  900  |  22.0 %  [DARK]
  ADC raw:  901  |  22.0 %  [DARK]
  ADC raw:  993  |  24.2 %  [DARK]
  ADC raw:  880  |  21.5 %  [DARK]
  ADC raw:  844  |  20.6 %  [DARK]
  ADC raw:  891  |  21.8 %  [DARK]
  ADC raw:  854  |  20.9 %  [DARK]
