ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0x6d (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw: 2828  |  69.1 %  [NORMAL]
  ADC raw: 2814  |  68.7 %  [NORMAL]
  ADC raw: 2829  |  69.1 %  [NORMAL]
  ADC raw: 2843  |  69.4 %  [NORMAL]
  ADC raw: 2858  |  69.8 %  [NORMAL]
  ADC raw: 2866  |  70.0 %  [NORMAL]
  ADC raw: 2869  |  70.1 %  [NORMAL]
  ADC raw: 1790  |  43.7 %  [DIM]
  ADC raw: 1753  |  42.8 %  [DIM]
  ADC raw: 1744  |  42.6 %  [DIM]
  ADC raw: 2876  |  70.2 %  [NORMAL]
  ADC raw: 2898  |  70.8 %  [NORMAL]
  ADC raw: 2897  |  70.7 %  [NORMAL]
  ADC raw: 2864  |  69.9 %  [NORMAL]
  ADC raw: 2604  |  63.6 %  [NORMAL]
  ADC raw: 1506  |  36.8 %  [DARK]
  ADC raw: 1438  |  35.1 %  [DARK]
  ADC raw: 1415  |  34.6 %  [DARK]
  ADC raw: 1450  |  35.4 %  [DARK]
  ADC raw: 1417  |  34.6 %  [DARK]
  ADC raw: 1441  |  35.2 %  [DARK]
  ADC raw: 1423  |  34.7 %  [DARK]
  ADC raw: 1922  |  46.9 %  [DIM]
  ADC raw: 2863  |  69.9 %  [NORMAL]
  ADC raw: 2887  |  70.5 %  [NORMAL]
  ADC raw: 2895  |  70.7 %  [NORMAL]
  ADC raw: 2898  |  70.8 %  [NORMAL]
  ADC raw: 2914  |  71.2 %  [NORMAL]
  ADC raw: 2918  |  71.3 %  [NORMAL]
  ADC raw: 2911  |  71.1 %  [NORMAL]
  ADC raw: 2913  |  71.1 %  [NORMAL]
  ADC raw: 2882  |  70.4 %  [NORMAL]
  ADC raw: 2862  |  69.9 %  [NORMAL]
  ADC raw: 2840  |  69.4 %  [NORMAL]
  ADC raw: 2829  |  69.1 %  [NORMAL]
  ADC raw: 2815  |  68.7 %  [NORMAL]
  ADC raw: 2807  |  68.5 %  [NORMAL]
  ADC raw: 2807  |  68.5 %  [NORMAL]
  ADC raw: 2815  |  68.7 %  [NORMAL]
  ADC raw: 2831  |  69.1 %  [NORMAL]
  ADC raw: 2844  |  69.5 %  [NORMAL]
  ADC raw: 2860  |  69.8 %  [NORMAL]
  ADC raw: 2810  |  68.6 %  [NORMAL]
  ADC raw: 2713  |  66.3 %  [NORMAL]
  ADC raw: 2739  |  66.9 %  [NORMAL]
  ADC raw: 2728  |  66.6 %  [NORMAL]
  ADC raw: 2723  |  66.5 %  [NORMAL]
  ADC raw: 2714  |  66.3 %  [NORMAL]
  ADC raw: 2667  |  65.1 %  [NORMAL]
  ADC raw: 2815  |  68.7 %  [NORMAL]
  ADC raw: 2835  |  69.2 %  [NORMAL]
  ADC raw: 2830  |  69.1 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2810  |  68.6 %  [NORMAL]
  ADC raw: 2798  |  68.3 %  [NORMAL]
  ADC raw: 2790  |  68.1 %  [NORMAL]
