ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0x6f (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw: 2878  |  70.3 %  [NORMAL]
  ADC raw: 2913  |  71.1 %  [NORMAL]
  ADC raw: 2914  |  71.2 %  [NORMAL]
  ADC raw: 2913  |  71.1 %  [NORMAL]
  ADC raw: 2776  |  67.8 %  [NORMAL]
  ADC raw: 2576  |  62.9 %  [NORMAL]
  ADC raw: 2705  |  66.1 %  [NORMAL]
  ADC raw: 2820  |  68.9 %  [NORMAL]
  ADC raw: 2821  |  68.9 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2815  |  68.7 %  [NORMAL]
  ADC raw: 2837  |  69.3 %  [NORMAL]
  ADC raw: 2379  |  58.1 %  [DIM]
  ADC raw: 1599  |  39.0 %  [DARK]
  ADC raw: 1540  |  37.6 %  [DARK]
  ADC raw: 1519  |  37.1 %  [DARK]
  ADC raw: 1531  |  37.4 %  [DARK]
  ADC raw: 1519  |  37.1 %  [DARK]
  ADC raw: 1515  |  37.0 %  [DARK]
  ADC raw: 2456  |  60.0 %  [NORMAL]
  ADC raw: 2764  |  67.5 %  [NORMAL]
  ADC raw: 2783  |  68.0 %  [NORMAL]
  ADC raw: 2793  |  68.2 %  [NORMAL]
  ADC raw: 2779  |  67.9 %  [NORMAL]
  ADC raw: 2774  |  67.7 %  [NORMAL]
  ADC raw: 2759  |  67.4 %  [NORMAL]
  ADC raw: 2748  |  67.1 %  [NORMAL]
  ADC raw: 2745  |  67.0 %  [NORMAL]
  ADC raw: 2745  |  67.0 %  [NORMAL]
  ADC raw: 2745  |  67.0 %  [NORMAL]
  ADC raw: 2742  |  67.0 %  [NORMAL]
  ADC raw: 2727  |  66.6 %  [NORMAL]
  ADC raw: 2717  |  66.3 %  [NORMAL]
  ADC raw: 2720  |  66.4 %  [NORMAL]
  ADC raw: 2733  |  66.7 %  [NORMAL]
  ADC raw: 2727  |  66.6 %  [NORMAL]
  ADC raw: 2725  |  66.5 %  [NORMAL]
  ADC raw: 2722  |  66.5 %  [NORMAL]
  ADC raw: 2724  |  66.5 %  [NORMAL]
  ADC raw: 2739  |  66.9 %  [NORMAL]
  ADC raw: 2747  |  67.1 %  [NORMAL]
  ADC raw: 2754  |  67.3 %  [NORMAL]
  ADC raw: 2760  |  67.4 %  [NORMAL]
  ADC raw: 2764  |  67.5 %  [NORMAL]
  ADC raw: 2757  |  67.3 %  [NORMAL]
  ADC raw: 2762  |  67.4 %  [NORMAL]
  ADC raw: 2766  |  67.5 %  [NORMAL]
  ADC raw: 2797  |  68.3 %  [NORMAL]
  ADC raw: 2810  |  68.6 %  [NORMAL]
  ADC raw: 2823  |  68.9 %  [NORMAL]
  ADC raw: 2828  |  69.1 %  [NORMAL]
  ADC raw: 2726  |  66.6 %  [NORMAL]
  ADC raw: 2714  |  66.3 %  [NORMAL]
  ADC raw: 2832  |  69.2 %  [NORMAL]
  ADC raw: 2824  |  69.0 %  [NORMAL]
  ADC raw: 2829  |  69.1 %  [NORMAL]
  ADC raw: 2830  |  69.1 %  [NORMAL]
  ADC raw: 2832  |  69.2 %  [NORMAL]
  ADC raw: 2826  |  69.0 %  [NORMAL]
  ADC raw: 2831  |  69.1 %  [NORMAL]
  ADC raw: 2831  |  69.1 %  [NORMAL]
  ADC raw: 2828  |  69.1 %  [NORMAL]
  ADC raw: 2826  |  69.0 %  [NORMAL]
  ADC raw: 2825  |  69.0 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2812  |  68.7 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2815  |  68.7 %  [NORMAL]
  ADC raw: 2814  |  68.7 %  [NORMAL]
  ADC raw: 2793  |  68.2 %  [NORMAL]
  ADC raw: 2784  |  68.0 %  [NORMAL]
  ADC raw: 2803  |  68.4 %  [NORMAL]
  ADC raw: 2803  |  68.4 %  [NORMAL]
  ADC raw: 2798  |  68.3 %  [NORMAL]
  ADC raw: 2796  |  68.3 %  [NORMAL]
  ADC raw: 2790  |  68.1 %  [NORMAL]
  ADC raw: 2798  |  68.3 %  [NORMAL]
  ADC raw: 2734  |  66.8 %  [NORMAL]
  ADC raw: 2044  |  49.9 %  [DIM]
  ADC raw: 1730  |  42.2 %  [DIM]
  ADC raw: 1667  |  40.7 %  [DIM]
  ADC raw: 1670  |  40.8 %  [DIM]
  ADC raw: 1532  |  37.4 %  [DARK]
  ADC raw: 1527  |  37.3 %  [DARK]
  ADC raw: 1548  |  37.8 %  [DARK]
  ADC raw: 1551  |  37.9 %  [DARK]
  ADC raw: 1559  |  38.1 %  [DARK]
  ADC raw: 1546  |  37.8 %  [DARK]
  ADC raw: 1931  |  47.2 %  [DIM]
  ADC raw: 2722  |  66.5 %  [NORMAL]
  ADC raw: 2766  |  67.5 %  [NORMAL]
  ADC raw: 2787  |  68.1 %  [NORMAL]
  ADC raw: 2794  |  68.2 %  [NORMAL]
  ADC raw: 2799  |  68.4 %  [NORMAL]
  ADC raw: 2804  |  68.5 %  [NORMAL]
  ADC raw: 2807  |  68.5 %  [NORMAL]
  ADC raw: 2769  |  67.6 %  [NORMAL]
  ADC raw: 2761  |  67.4 %  [NORMAL]
  ADC raw: 2762  |  67.4 %  [NORMAL]
  ADC raw: 2765  |  67.5 %  [NORMAL]
  ADC raw: 2804  |  68.5 %  [NORMAL]
  ADC raw: 2828  |  69.1 %  [NORMAL]
  ADC raw: 2839  |  69.3 %  [NORMAL]
  ADC raw: 2843  |  69.4 %  [NORMAL]
  ADC raw: 2848  |  69.5 %  [NORMAL]
  ADC raw: 2860  |  69.8 %  [NORMAL]
  ADC raw: 2868  |  70.0 %  [NORMAL]
  ADC raw: 2872  |  70.1 %  [NORMAL]
  ADC raw: 2879  |  70.3 %  [NORMAL]
