ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw: 2826  |  69.0 %  [NORMAL]
  ADC raw: 2623  |  64.1 %  [NORMAL]
  ADC raw: 2681  |  65.5 %  [NORMAL]
  ADC raw: 2697  |  65.9 %  [NORMAL]
  ADC raw: 2796  |  68.3 %  [NORMAL]
  ADC raw: 2059  |  50.3 %  [DIM]
  ADC raw: 1395  |  34.1 %  [DARK]
  ADC raw: 1449  |  35.4 %  [DARK]
  ADC raw: 2810  |  68.6 %  [NORMAL]
  ADC raw: 2814  |  68.7 %  [NORMAL]
  ADC raw: 2813  |  68.7 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2827  |  69.0 %  [NORMAL]
  ADC raw: 2832  |  69.2 %  [NORMAL]
  ADC raw: 2832  |  69.2 %  [NORMAL]
  ADC raw: 2835  |  69.2 %  [NORMAL]
  ADC raw: 2832  |  69.2 %  [NORMAL]
  ADC raw: 2843  |  69.4 %  [NORMAL]
  ADC raw: 2847  |  69.5 %  [NORMAL]
  ADC raw: 2852  |  69.6 %  [NORMAL]
  ADC raw: 2855  |  69.7 %  [NORMAL]
  ADC raw: 2856  |  69.7 %  [NORMAL]
  ADC raw: 2858  |  69.8 %  [NORMAL]
  ADC raw: 2861  |  69.9 %  [NORMAL]
  ADC raw: 2863  |  69.9 %  [NORMAL]
  ADC raw: 2864  |  69.9 %  [NORMAL]
  ADC raw: 2866  |  70.0 %  [NORMAL]
  ADC raw: 2868  |  70.0 %  [NORMAL]
  ADC raw: 2872  |  70.1 %  [NORMAL]
  ADC raw: 2826  |  69.0 %  [NORMAL]
  ADC raw: 2827  |  69.0 %  [NORMAL]
  ADC raw: 2830  |  69.1 %  [NORMAL]
  ADC raw: 2829  |  69.1 %  [NORMAL]
  ADC raw: 2779  |  67.9 %  [NORMAL]
  ADC raw: 2801  |  68.4 %  [NORMAL]
  ADC raw: 1474  |  36.0 %  [DARK]
  ADC raw: 1451  |  35.4 %  [DARK]
  ADC raw: 1497  |  36.6 %  [DARK]
  ADC raw: 1488  |  36.3 %  [DARK]
  ADC raw: 2644  |  64.6 %  [NORMAL]
  ADC raw: 2876  |  70.2 %  [NORMAL]
  ADC raw: 2148  |  52.5 %  [DIM]
  ADC raw: 2546  |  62.2 %  [NORMAL]
  ADC raw: 2452  |  59.9 %  [NORMAL]
  ADC raw: 2272  |  55.5 %  [DIM]
  ADC raw: 2163  |  52.8 %  [DIM]
  ADC raw: 2221  |  54.2 %  [DIM]
  ADC raw: 2378  |  58.1 %  [DIM]
  ADC raw: 2850  |  69.6 %  [NORMAL]
  ADC raw: 2833  |  69.2 %  [NORMAL]
  ADC raw: 2840  |  69.4 %  [NORMAL]
  ADC raw: 2519  |  61.5 %  [NORMAL]
  ADC raw: 2500  |  61.1 %  [NORMAL]
  ADC raw: 2826  |  69.0 %  [NORMAL]
  ADC raw: 2827  |  69.0 %  [NORMAL]
  ADC raw: 2824  |  69.0 %  [NORMAL]
  ADC raw: 2827  |  69.0 %  [NORMAL]
  ADC raw: 2827  |  69.0 %  [NORMAL]
  ADC raw: 2828  |  69.1 %  [NORMAL]
  ADC raw: 2826  |  69.0 %  [NORMAL]
  ADC raw: 2826  |  69.0 %  [NORMAL]
  ADC raw: 2826  |  69.0 %  [NORMAL]
  ADC raw: 2830  |  69.1 %  [NORMAL]
  ADC raw: 2827  |  69.0 %  [NORMAL]
  ADC raw: 2832  |  69.2 %  [NORMAL]
  ADC raw: 2829  |  69.1 %  [NORMAL]
  ADC raw: 2839  |  69.3 %  [NORMAL]
  ADC raw: 2840  |  69.4 %  [NORMAL]
  ADC raw: 2839  |  69.3 %  [NORMAL]
  ADC raw: 2841  |  69.4 %  [NORMAL]
  ADC raw: 2845  |  69.5 %  [NORMAL]
  ADC raw: 2843  |  69.4 %  [NORMAL]
  ADC raw: 2841  |  69.4 %  [NORMAL]
  ADC raw: 2842  |  69.4 %  [NORMAL]
  ADC raw: 2839  |  69.3 %  [NORMAL]
  ADC raw: 2841  |  69.4 %  [NORMAL]
  ADC raw: 2844  |  69.5 %  [NORMAL]
  ADC raw: 2841  |  69.4 %  [NORMAL]
  ADC raw: 2840  |  69.4 %  [NORMAL]
  ADC raw: 2837  |  69.3 %  [NORMAL]
  ADC raw: 2839  |  69.3 %  [NORMAL]
  ADC raw: 2835  |  69.2 %  [NORMAL]
  ADC raw: 2836  |  69.3 %  [NORMAL]
  ADC raw: 2835  |  69.2 %  [NORMAL]
  ADC raw: 2833  |  69.2 %  [NORMAL]
  ADC raw: 2828  |  69.1 %  [NORMAL]
  ADC raw: 2822  |  68.9 %  [NORMAL]
  ADC raw: 2818  |  68.8 %  [NORMAL]
  ADC raw: 2811  |  68.6 %  [NORMAL]
  ADC raw: 2809  |  68.6 %  [NORMAL]
  ADC raw: 2803  |  68.4 %  [NORMAL]
  ADC raw: 2799  |  68.4 %  [NORMAL]
  ADC raw: 2795  |  68.3 %  [NORMAL]
  ADC raw: 2790  |  68.1 %  [NORMAL]
  ADC raw: 2787  |  68.1 %  [NORMAL]
  ADC raw: 2783  |  68.0 %  [NORMAL]
  ADC raw: 2779  |  67.9 %  [NORMAL]
  ADC raw: 2775  |  67.8 %  [NORMAL]
  ADC raw: 2773  |  67.7 %  [NORMAL]
  ADC raw: 2770  |  67.6 %  [NORMAL]
  ADC raw: 2766  |  67.5 %  [NORMAL]
  ADC raw: 2765  |  67.5 %  [NORMAL]
  ADC raw: 2762  |  67.4 %  [NORMAL]
  ADC raw: 2760  |  67.4 %  [NORMAL]
  ADC raw: 2792  |  68.2 %  [NORMAL]
  ADC raw: 2790  |  68.1 %  [NORMAL]
  ADC raw: 2787  |  68.1 %  [NORMAL]
  ADC raw: 2783  |  68.0 %  [NORMAL]
  ADC raw: 2761  |  67.4 %  [NORMAL]
  ADC raw: 2564  |  62.6 %  [NORMAL]
  ADC raw: 2815  |  68.7 %  [NORMAL]
  ADC raw: 2807  |  68.5 %  [NORMAL]
  ADC raw: 2797  |  68.3 %  [NORMAL]
  ADC raw: 2797  |  68.3 %  [NORMAL]
  ADC raw: 2799  |  68.4 %  [NORMAL]
  ADC raw: 2794  |  68.2 %  [NORMAL]
  ADC raw: 2790  |  68.1 %  [NORMAL]
  ADC raw: 2783  |  68.0 %  [NORMAL]
  ADC raw: 2771  |  67.7 %  [NORMAL]
  ADC raw: 2776  |  67.8 %  [NORMAL]
  ADC raw: 2789  |  68.1 %  [NORMAL]
  ADC raw: 2791  |  68.2 %  [NORMAL]
  ADC raw: 2812  |  68.7 %  [NORMAL]
  ADC raw: 2815  |  68.7 %  [NORMAL]
  ADC raw: 2813  |  68.7 %  [NORMAL]
  ADC raw: 2812  |  68.7 %  [NORMAL]
  ADC raw: 2814  |  68.7 %  [NORMAL]
  ADC raw: 2815  |  68.7 %  [NORMAL]
  ADC raw: 2813  |  68.7 %  [NORMAL]
  ADC raw: 2818  |  68.8 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2742  |  67.0 %  [NORMAL]
  ADC raw: 2808  |  68.6 %  [NORMAL]
  ADC raw: 2765  |  67.5 %  [NORMAL]
  ADC raw: 2736  |  66.8 %  [NORMAL]
  ADC raw: 2768  |  67.6 %  [NORMAL]
  ADC raw: 2798  |  68.3 %  [NORMAL]
  ADC raw: 2803  |  68.4 %  [NORMAL]
  ADC raw: 2802  |  68.4 %  [NORMAL]
  ADC raw: 2810  |  68.6 %  [NORMAL]
  ADC raw: 2812  |  68.7 %  [NORMAL]
  ADC raw: 2814  |  68.7 %  [NORMAL]
  ADC raw: 2819  |  68.8 %  [NORMAL]
  ADC raw: 2823  |  68.9 %  [NORMAL]
  ADC raw: 2829  |  69.1 %  [NORMAL]
  ADC raw: 2829  |  69.1 %  [NORMAL]
  ADC raw: 2784  |  68.0 %  [NORMAL]
  ADC raw: 2858  |  69.8 %  [NORMAL]
  ADC raw: 2861  |  69.9 %  [NORMAL]
  ADC raw: 2863  |  69.9 %  [NORMAL]
  ADC raw: 2866  |  70.0 %  [NORMAL]
  ADC raw: 2869  |  70.1 %  [NORMAL]
  ADC raw: 2872  |  70.1 %  [NORMAL]
  ADC raw: 2877  |  70.3 %  [NORMAL]
  ADC raw: 2884  |  70.4 %  [NORMAL]
  ADC raw: 2889  |  70.5 %  [NORMAL]
  ADC raw: 2890  |  70.6 %  [NORMAL]
  ADC raw: 2894  |  70.7 %  [NORMAL]
  ADC raw: 2899  |  70.8 %  [NORMAL]
  ADC raw: 2904  |  70.9 %  [NORMAL]
  ADC raw: 2902  |  70.9 %  [NORMAL]
  ADC raw: 2902  |  70.9 %  [NORMAL]
  ADC raw: 2865  |  70.0 %  [NORMAL]
  ADC raw: 2865  |  70.0 %  [NORMAL]
  ADC raw: 2891  |  70.6 %  [NORMAL]
  ADC raw: 2897  |  70.7 %  [NORMAL]
  ADC raw: 2902  |  70.9 %  [NORMAL]
  ADC raw: 2900  |  70.8 %  [NORMAL]
  ADC raw: 2900  |  70.8 %  [NORMAL]
  ADC raw: 2899  |  70.8 %  [NORMAL]
  ADC raw: 2900  |  70.8 %  [NORMAL]
  ADC raw: 2900  |  70.8 %  [NORMAL]
  ADC raw: 2899  |  70.8 %  [NORMAL]
  ADC raw: 2896  |  70.7 %  [NORMAL]
  ADC raw: 2893  |  70.6 %  [NORMAL]
  ADC raw: 2892  |  70.6 %  [NORMAL]
  ADC raw: 2828  |  69.1 %  [NORMAL]
  ADC raw: 2879  |  70.3 %  [NORMAL]
  ADC raw: 2885  |  70.5 %  [NORMAL]
  ADC raw: 2890  |  70.6 %  [NORMAL]
  ADC raw: 2895  |  70.7 %  [NORMAL]
  ADC raw: 2895  |  70.7 %  [NORMAL]
  ADC raw: 2894  |  70.7 %  [NORMAL]
  ADC raw: 2894  |  70.7 %  [NORMAL]
  ADC raw: 2892  |  70.6 %  [NORMAL]
  ADC raw: 2892  |  70.6 %  [NORMAL]
  ADC raw: 2893  |  70.6 %  [NORMAL]
  ADC raw: 2893  |  70.6 %  [NORMAL]
  ADC raw: 2891  |  70.6 %  [NORMAL]
  ADC raw: 2890  |  70.6 %  [NORMAL]
  ADC raw: 2890  |  70.6 %  [NORMAL]
  ADC raw: 2889  |  70.5 %  [NORMAL]
  ADC raw: 2891  |  70.6 %  [NORMAL]
  ADC raw: 2889  |  70.5 %  [NORMAL]
  ADC raw: 2889  |  70.5 %  [NORMAL]
  ADC raw: 2887  |  70.5 %  [NORMAL]
  ADC raw: 2890  |  70.6 %  [NORMAL]
  ADC raw: 2886  |  70.5 %  [NORMAL]
  ADC raw: 2884  |  70.4 %  [NORMAL]
  ADC raw: 2884  |  70.4 %  [NORMAL]
  ADC raw: 2884  |  70.4 %  [NORMAL]
  ADC raw: 2884  |  70.4 %  [NORMAL]
  ADC raw: 2882  |  70.4 %  [NORMAL]
  ADC raw: 2881  |  70.4 %  [NORMAL]
  ADC raw: 2878  |  70.3 %  [NORMAL]
  ADC raw: 2876  |  70.2 %  [NORMAL]
  ADC raw: 2874  |  70.2 %  [NORMAL]
  ADC raw: 2869  |  70.1 %  [NORMAL]
  ADC raw: 2870  |  70.1 %  [NORMAL]
  ADC raw: 2868  |  70.0 %  [NORMAL]
  ADC raw: 2866  |  70.0 %  [NORMAL]
  ADC raw: 2863  |  69.9 %  [NORMAL]
  ADC raw: 2858  |  69.8 %  [NORMAL]
  ADC raw: 2853  |  69.7 %  [NORMAL]
  ADC raw: 2849  |  69.6 %  [NORMAL]
  ADC raw: 2840  |  69.4 %  [NORMAL]
  ADC raw: 2835  |  69.2 %  [NORMAL]
  ADC raw: 2826  |  69.0 %  [NORMAL]
  ADC raw: 2822  |  68.9 %  [NORMAL]
