  ADC raw: 2577  |  62.9 %  [NORMAL]
  ADC raw: 2546  |  62.2 %  [NORMAL]
  ADC raw: 2566  |  62.7 %  [NORMAL]
  ADC raw: 2629  |  64.2 %  [NORMAL]
  ADC raw: 2629  |  64.2 %  [NORMAL]
  ADC raw: 2618  |  63.9 %  [NORMAL]
  ADC raw: 2580  |  63.0 %  [NORMAL]
  ADC raw: 2588  |  63.2 %  [NORMAL]
  ADC raw: 2614  |  63.8 %  [NORMAL]
  ADC raw: 2616  |  63.9 %  [NORMAL]
  ADC raw: 2590  |  63.2 %  [NORMAL]
  ADC raw: 2518  |  61.5 %  [NORMAL]
  ADC raw: 2511  |  61.3 %  [NORMAL]
  ADC raw: 2454  |  59.9 %  [NORMAL]
  ADC raw: 2458  |  60.0 %  [NORMAL]
  ADC raw: 2478  |  60.5 %  [NORMAL]
  ADC raw: 2463  |  60.1 %  [NORMAL]
  ADC raw: 2468  |  60.3 %  [NORMAL]
  ADC raw: 2467  |  60.2 %  [NORMAL]
  ADC raw: 2723  |  66.5 %  [NORMAL]
  ADC raw: 2461  |  60.1 %  [NORMAL]
  ADC raw: 2441  |  59.6 %  [NORMAL]
  ADC raw: 2436  |  59.5 %  [NORMAL]
  ADC raw: 2458  |  60.0 %  [NORMAL]
  ADC raw: 2840  |  69.4 %  [NORMAL]
  ADC raw: 2835  |  69.2 %  [NORMAL]

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  MQ-135 — Air Quality                  │
└─────────────────────────────────────────┘
Sensor needs ~5 min to stabilise after cold boot.
Breathe on it or bring a marker close to see change.
Press any key to stop.

  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   40  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   47  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   43  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   45  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
  ADC raw:   46  |  [CLEAN]
  ADC raw:   44  |  [CLEAN]
