ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0x6d (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  MQ-135 — Air Quality                  │
└─────────────────────────────────────────┘
Sensor needs ~5 min to stabilise after cold boot.
Breathe on it or bring a marker close to see change.
Press any key to stop.

  ADC raw: 3206  |  [CRITICAL]
  ADC raw: 3287  |  [CRITICAL]
  ADC raw: 3371  |  [CRITICAL]
  ADC raw: 3450  |  [CRITICAL]
  ADC raw: 3527  |  [CRITICAL]
  ADC raw: 3598  |  [CRITICAL]
  ADC raw: 3664  |  [CRITICAL]
  ADC raw: 3708  |  [CRITICAL]
  ADC raw: 3732  |  [CRITICAL]
  ADC raw: 3743  |  [CRITICAL]
  ADC raw: 3750  |  [CRITICAL]
  ADC raw: 3752  |  [CRITICAL]
  ADC raw: 3751  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3753  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3753  |  [CRITICAL]
  ADC raw: 3753  |  [CRITICAL]
  ADC raw: 3752  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3753  |  [CRITICAL]
  ADC raw: 3753  |  [CRITICAL]
  ADC raw: 3753  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3753  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
  ADC raw: 3754  |  [CRITICAL]
