ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  MQ-135 — Air Quality                  │
└─────────────────────────────────────────┘
Sensor needs ~5 min to stabilise after cold boot.
Breathe on it or bring a marker close to see change.
Press any key to stop.

  ADC raw: 2886  |  [CLEAN]
  ADC raw: 2893  |  [CLEAN]
  ADC raw: 2893  |  [CLEAN]
  ADC raw: 2890  |  [CLEAN]
  ADC raw: 2886  |  [CLEAN]
  ADC raw: 2882  |  [CLEAN]
  ADC raw: 2886  |  [CLEAN]
  ADC raw: 2882  |  [CLEAN]
  ADC raw: 2884  |  [CLEAN]
  ADC raw: 2881  |  [CLEAN]
  ADC raw: 2882  |  [CLEAN]
  ADC raw: 2876  |  [CLEAN]
  ADC raw: 2877  |  [CLEAN]
  ADC raw: 2872  |  [CLEAN]
  ADC raw: 2868  |  [CLEAN]
  ADC raw: 2870  |  [CLEAN]
  ADC raw: 2868  |  [CLEAN]
  ADC raw: 2868  |  [CLEAN]
  ADC raw: 2869  |  [CLEAN]
  ADC raw: 2868  |  [CLEAN]
  ADC raw: 2863  |  [CLEAN]
  ADC raw: 2865  |  [CLEAN]
  ADC raw: 2860  |  [CLEAN]
  ADC raw: 2860  |  [CLEAN]
  ADC raw: 2858  |  [CLEAN]
  ADC raw: 2857  |  [CLEAN]
  ADC raw: 2855  |  [CLEAN]
  ADC raw: 2854  |  [CLEAN]
  ADC raw: 2854  |  [CLEAN]
  ADC raw: 2852  |  [CLEAN]
  ADC raw: 2848  |  [CLEAN]
  ADC raw: 2849  |  [CLEAN]
  ADC raw: 2846  |  [CLEAN]
  ADC raw: 2845  |  [CLEAN]
  ADC raw: 2846  |  [CLEAN]
  ADC raw: 2844  |  [CLEAN]
  ADC raw: 2847  |  [CLEAN]
  ADC raw: 2839  |  [CLEAN]
  ADC raw: 2843  |  [CLEAN]
  ADC raw: 2842  |  [CLEAN]
  ADC raw: 2837  |  [CLEAN]
  ADC raw: 2839  |  [CLEAN]
  ADC raw: 2835  |  [CLEAN]
  ADC raw: 2835  |  [CLEAN]
  ADC raw: 2832  |  [CLEAN]
  ADC raw: 2832  |  [CLEAN]
  ADC raw: 2832  |  [CLEAN]
  ADC raw: 2826  |  [CLEAN]
  ADC raw: 2829  |  [CLEAN]
  ADC raw: 2823  |  [CLEAN]
  ADC raw: 2825  |  [CLEAN]
  ADC raw: 2824  |  [CLEAN]
  ADC raw: 2821  |  [CLEAN]
  ADC raw: 2821  |  [CLEAN]
  ADC raw: 2818  |  [CLEAN]
  ADC raw: 2818  |  [CLEAN]
  ADC raw: 2818  |  [CLEAN]
  ADC raw: 2813  |  [CLEAN]
  ADC raw: 2813  |  [CLEAN]
  ADC raw: 2812  |  [CLEAN]
  ADC raw: 2812  |  [CLEAN]
  ADC raw: 2810  |  [CLEAN]
  ADC raw: 2814  |  [CLEAN]
  ADC raw: 2817  |  [CLEAN]
  ADC raw: 2818  |  [CLEAN]
  ADC raw: 2815  |  [CLEAN]
  ADC raw: 2810  |  [CLEAN]
  ADC raw: 2807  |  [CLEAN]
  ADC raw: 2809  |  [CLEAN]
  ADC raw: 2808  |  [CLEAN]
  ADC raw: 2807  |  [CLEAN]
  ADC raw: 2806  |  [CLEAN]
  ADC raw: 2805  |  [CLEAN]
  ADC raw: 2803  |  [CLEAN]
  ADC raw: 2799  |  [CLEAN]
  ADC raw: 2799  |  [CLEAN]
  ADC raw: 2799  |  [CLEAN]
  ADC raw: 2800  |  [CLEAN]
  ADC raw: 2801  |  [CLEAN]
  ADC raw: 2805  |  [CLEAN]
  ADC raw: 2804  |  [CLEAN]
  ADC raw: 2805  |  [CLEAN]
  ADC raw: 2804  |  [CLEAN]
  ADC raw: 2805  |  [CLEAN]
  ADC raw: 2803  |  [CLEAN]
  ADC raw: 2801  |  [CLEAN]
  ADC raw: 2800  |  [CLEAN]
  ADC raw: 2796  |  [CLEAN]
  ADC raw: 2794  |  [CLEAN]
  ADC raw: 2790  |  [CLEAN]
  ADC raw: 2790  |  [CLEAN]
  ADC raw: 2790  |  [CLEAN]
  ADC raw: 2788  |  [CLEAN]
  ADC raw: 2787  |  [CLEAN]
  ADC raw: 2784  |  [CLEAN]
  ADC raw: 2780  |  [CLEAN]
  ADC raw: 2780  |  [CLEAN]
  ADC raw: 2780  |  [CLEAN]
  ADC raw: 2779  |  [CLEAN]
  ADC raw: 2778  |  [CLEAN]
  ADC raw: 2777  |  [CLEAN]
  ADC raw: 2775  |  [CLEAN]
  ADC raw: 2772  |  [CLEAN]
  ADC raw: 2773  |  [CLEAN]
  ADC raw: 2772  |  [CLEAN]
  ADC raw: 2771  |  [CLEAN]
  ADC raw: 2769  |  [CLEAN]
  ADC raw: 2765  |  [CLEAN]
  ADC raw: 2767  |  [CLEAN]
  ADC raw: 2765  |  [CLEAN]
  ADC raw: 2767  |  [CLEAN]
  ADC raw: 2765  |  [CLEAN]
  ADC raw: 2760  |  [CLEAN]
  ADC raw: 2762  |  [CLEAN]
  ADC raw: 2758  |  [CLEAN]
  ADC raw: 2758  |  [CLEAN]
  ADC raw: 2757  |  [CLEAN]
  ADC raw: 2756  |  [CLEAN]
  ADC raw: 2755  |  [CLEAN]
  ADC raw: 2754  |  [CLEAN]
  ADC raw: 2772  |  [CLEAN]
  ADC raw: 2983  |  [CLEAN]
  ADC raw: 3050  |  [CLEAN]
  ADC raw: 3061  |  [CLEAN]
  ADC raw: 3054  |  [CLEAN]
  ADC raw: 3033  |  [CLEAN]
  ADC raw: 3031  |  [CLEAN]
  ADC raw: 3054  |  [CLEAN]
  ADC raw: 3075  |  [CLEAN]
  ADC raw: 3069  |  [CLEAN]
  ADC raw: 3093  |  [CLEAN]
  ADC raw: 3105  |  [CLEAN]
  ADC raw: 3115  |  [CLEAN]
  ADC raw: 3123  |  [CLEAN]
  ADC raw: 3125  |  [CLEAN]
  ADC raw: 3138  |  [CLEAN]
  ADC raw: 3140  |  [CLEAN]
  ADC raw: 3138  |  [CLEAN]
  ADC raw: 3139  |  [CLEAN]
  ADC raw: 3144  |  [CLEAN]
  ADC raw: 3161  |  [CLEAN]
  ADC raw: 3182  |  [CLEAN]
  ADC raw: 3194  |  [CLEAN]
  ADC raw: 3214  |  [CLEAN]
  ADC raw: 3217  |  [CLEAN]
  ADC raw: 3209  |  [CLEAN]
  ADC raw: 3228  |  [CLEAN]
  ADC raw: 3130  |  [CLEAN]
  ADC raw: 3058  |  [CLEAN]
  ADC raw: 3014  |  [CLEAN]
  ADC raw: 2970  |  [CLEAN]
  ADC raw: 2946  |  [CLEAN]
  ADC raw: 2924  |  [CLEAN]
  ADC raw: 2904  |  [CLEAN]
  ADC raw: 2888  |  [CLEAN]
  ADC raw: 2871  |  [CLEAN]
  ADC raw: 2859  |  [CLEAN]
  ADC raw: 2841  |  [CLEAN]
  ADC raw: 2831  |  [CLEAN]
  ADC raw: 2815  |  [CLEAN]
  ADC raw: 2799  |  [CLEAN]
  ADC raw: 2790  |  [CLEAN]
  ADC raw: 2780  |  [CLEAN]
  ADC raw: 2768  |  [CLEAN]
  ADC raw: 2763  |  [CLEAN]
  ADC raw: 2751  |  [CLEAN]
  ADC raw: 2744  |  [CLEAN]
  ADC raw: 2741  |  [CLEAN]
  ADC raw: 2733  |  [CLEAN]
  ADC raw: 2729  |  [CLEAN]
  ADC raw: 2719  |  [CLEAN]
  ADC raw: 2718  |  [CLEAN]
  ADC raw: 2713  |  [CLEAN]
  ADC raw: 2706  |  [CLEAN]
