ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  R=Breathing  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  752  |  18.4 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  752  |  18.4 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  753  |  18.4 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  753  |  18.4 %  [DARK]
  ADC raw:  753  |  18.4 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  752  |  18.4 %  [DARK]
  ADC raw:  752  |  18.4 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  753  |  18.4 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  752  |  18.4 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  751  |  18.3 %  [DARK]
  ADC raw:  752  |  18.4 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  750  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  749  |  18.3 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  747  |  18.2 %  [DARK]
  ADC raw:  748  |  18.3 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  744  |  18.2 %  [DARK]
  ADC raw:  744  |  18.2 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  745  |  18.2 %  [DARK]
  ADC raw:  744  |  18.2 %  [DARK]
