ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0x1c (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

═══════════════════╗
  MediTwin AI — Sensor Test & Calibrate ║
═════════════╝
alised
[SENSOR] HC-SR04 ready



  1=LDR  2=MQ135  3=HC-SR04  4=DHT22
2C scan  9=ALL  0=Stability
n OFF  B=Buzzer  R=Breathing
tor automat)  ?=Help


┐
│  Fan Test (relay/MOSFET)                 │
─────────────────┘
  → watch ACS712 current rise if wired in series.
Fan  → ON
 Current while ON: 0.238 A
[ACTUATOR] Fan  → OFF
  Fan OFF.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22
C scan  9=ALL  0=Stability
 OFF  B=Buzzer  R=Breathing
or automat)  ?=Help


┐
│  LDR — Light Sensor                    │
─────────────────┘
nsor (dark) then expose to light.
Press any key to stop.

C raw: 2273  |  55.5 %  [DIM]
 ADC raw: 2346  |  57.3 %  [DIM]
 ADC raw: 2347  |  57.3 %  [DIM]
 ADC raw: 2342  |  57.2 %  [DIM]
 ADC raw: 2342  |  57.2 %  [DIM]
 ADC raw: 2341  |  57.2 %  [DIM]
 ADC raw: 2348  |  57.3 %  [DIM]
 ADC raw: 2348  |  57.3 %  [DIM]
 ADC raw: 2346  |  57.3 %  [DIM]
 ADC raw: 2342  |  57.2 %  [DIM]
 ADC raw: 2334  |  57.0 %  [DIM]
 ADC raw: 2330  |  56.9 %  [DIM]
 ADC raw: 2313  |  56.5 %  [DIM]
 ADC raw: 2290  |  55.9 %  [DIM]
 ADC raw: 2282  |  55.7 %  [DIM]
 ADC raw: 2278  |  55.6 %  [DIM]
 ADC raw: 2275  |  55.6 %  [DIM]
 ADC raw: 2430  |  59.3 %  [NORMAL]
 ADC raw: 2465  |  60.2 %  [NORMAL]
 ADC raw: 2569  |  62.7 %  [NORMAL]
 ADC raw: 2572  |  62.8 %  [NORMAL]
 ADC raw: 2523  |  61.6 %  [NORMAL]
 ADC raw: 2577  |  62.9 %  [NORMAL]
 ADC raw: 2573  |  62.8 %  [NORMAL]
 ADC raw: 2582  |  63.1 %  [NORMAL]
 ADC raw: 2583  |  63.1 %  [NORMAL]
 ADC raw: 2598  |  63.4 %  [NORMAL]
 ADC raw: 2570  |  62.8 %  [NORMAL]
 ADC raw: 2589  |  63.2 %  [NORMAL]
 ADC raw: 2596  |  63.4 %  [NORMAL]
 ADC raw: 2594  |  63.3 %  [NORMAL]
 ADC raw: 2595  |  63.4 %  [NORMAL]
 ADC raw: 2600  |  63.5 %  [NORMAL]
 ADC raw: 2613  |  63.8 %  [NORMAL]
 ADC raw: 2621  |  64.0 %  [NORMAL]
 ADC raw: 2592  |  63.3 %  [NORMAL]
 ADC raw: 2633  |  64.3 %  [NORMAL]
 ADC raw: 2700  |  65.9 %  [NORMAL]
 ADC raw: 2739  |  66.9 %  [NORMAL]
 ADC raw: 2732  |  66.7 %  [NORMAL]
 ADC raw: 2737  |  66.8 %  [NORMAL]
 ADC raw: 2569  |  62.7 %  [NORMAL]
 ADC raw: 2702  |  66.0 %  [NORMAL]
 ADC raw: 2626  |  64.1 %  [NORMAL]
 ADC raw: 2402  |  58.7 %  [NORMAL]
 ADC raw: 2672  |  65.3 %  [NORMAL]
 ADC raw: 2957  |  72.2 %  [NORMAL]
 ADC raw: 2973  |  72.6 %  [NORMAL]
 ADC raw: 2974  |  72.6 %  [NORMAL]
 ADC raw: 2964  |  72.4 %  [NORMAL]
 ADC raw: 2958  |  72.2 %  [NORMAL]
 ADC raw: 2898  |  70.8 %  [NORMAL]
 ADC raw: 2836  |  69.3 %  [NORMAL]
 ADC raw: 2832  |  69.2 %  [NORMAL]
 ADC raw: 2328  |  56.8 %  [DIM]
 ADC raw: 2299  |  56.1 %  [DIM]
 ADC raw: 2307  |  56.3 %  [DIM]
 ADC raw: 2878  |  70.3 %  [NORMAL]
 ADC raw: 2868  |  70.0 %  [NORMAL]
 ADC raw: 2871  |  70.1 %  [NORMAL]
 ADC raw: 2894  |  70.7 %  [NORMAL]
 ADC raw: 2895  |  70.7 %  [NORMAL]
 ADC raw: 2892  |  70.6 %  [NORMAL]
 ADC raw: 2896  |  70.7 %  [NORMAL]
 ADC raw: 2899  |  70.8 %  [NORMAL]
 ADC raw: 2899  |  70.8 %  [NORMAL]
