ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

═══════════════════╗
  MediTwin AI — Sensor Test & Calibrate ║
═════════════╝
alised
[SENSOR] HC-SR04 ready



  1=LDR  2=MQ135  3=HC-SR04  4=DHT22
2C scan  9=ALL  0=Stability
n OFF  B=Buzzer  R=Breathing
tor automat)  ?=Help


┐
│  MQ-135 — Air Quality                  │
─────────────────┘
ing baseline... keep air clean for 3 seconds.
 Baseline: 3747  |  WARNING at +100, CRITICAL at +200

 key to stop.
  ADC raw: 3746  (delta: -1)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3752  (delta: +5)  |  [CLEAN]
 ADC raw: 3747  (delta: +0)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3746  (delta: -1)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3747  (delta: +0)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3747  (delta: +0)  |  [CLEAN]
 ADC raw: 3746  (delta: -1)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3752  (delta: +5)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3747  (delta: +0)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3746  (delta: -1)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3746  (delta: -1)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3746  (delta: -1)  |  [CLEAN]
 ADC raw: 3747  (delta: +0)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3747  (delta: +0)  |  [CLEAN]
 ADC raw: 3745  (delta: -2)  |  [CLEAN]
 ADC raw: 3747  (delta: +0)  |  [CLEAN]
 ADC raw: 3747  (delta: +0)  |  [CLEAN]
 ADC raw: 3747  (delta: +0)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3752  (delta: +5)  |  [CLEAN]
 ADC raw: 3753  (delta: +6)  |  [CLEAN]
 ADC raw: 3753  (delta: +6)  |  [CLEAN]
 ADC raw: 3752  (delta: +5)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3752  (delta: +5)  |  [CLEAN]
 ADC raw: 3751  (delta: +4)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3752  (delta: +5)  |  [CLEAN]
 ADC raw: 3748  (delta: +1)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3752  (delta: +5)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3750  (delta: +3)  |  [CLEAN]
 ADC raw: 3749  (delta: +2)  |  [CLEAN]
 ADC raw: 3753  (delta: +6)  |  [CLEAN]
